time/iterations,time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,train/n_updates,train/clip_fraction,train/loss,train/explained_variance,train/clip_range_vf,train/policy_gradient_loss,train/approx_kl,train/value_loss,train/std,train/entropy_loss,train/learning_rate,train/clip_range
1,9058,1,16384,23.43988037109375,232.6,,,,,,,,,,,,
2,6628,4,32768,26.35943603515625,390.6923076923077,10,0.15008544921875,4.706747055053711,-0.07132267951965332,0.2,-0.009081682593387087,0.0032512061,3.03326116502285,0.04984873905777931,36.35032947063446,1e-05,0.1
3,5825,8,49152,23.014015197753906,449.7590361445783,20,0.1251220703125,2.429265022277832,-0.2370389699935913,0.2,-0.009880887834879105,0.002894708,0.7152468521147967,0.04990607127547264,36.3230278968811,1e-05,0.1
4,5479,11,65536,20.866655349731445,501.62,30,0.135919189453125,2.527639627456665,0.10508620738983154,0.2,-0.010695914941607043,0.0030283406,0.7782614756375551,0.049963828176259995,36.296534752845766,1e-05,0.1
5,5236,15,81920,21.74970245361328,598.8,40,0.143438720703125,2.470221519470215,0.19278454780578613,0.2,-0.01128725111775566,0.0032728426,0.7468439999967813,0.05002683028578758,36.268857550621036,1e-05,0.1
6,5007,19,98304,18.237333297729492,560.13,50,0.132623291015625,2.4528331756591797,0.5200473070144653,0.2,-0.010551497501728591,0.0031002196,0.7432479947805405,0.050089120864868164,36.23986613750458,1e-05,0.1
7,4934,23,114688,21.249671936035156,629.0,60,0.132147216796875,2.4830353260040283,0.5420876741409302,0.2,-0.009993566331104375,0.0030360725,0.7357722986489534,0.05014655366539955,36.21235294342041,1e-05,0.1
8,4909,26,131072,19.5197811126709,577.27,70,0.148565673828125,2.459557294845581,0.5894695520401001,0.2,-0.010782886027300265,0.0032568397,0.7371847670525312,0.050204623490571976,36.18598642349243,1e-05,0.1
9,4873,30,147456,19.981273651123047,585.01,80,0.140582275390625,2.507737636566162,0.6983664035797119,0.2,-0.010891622611961794,0.0030940338,0.740422498062253,0.0502619594335556,36.15955398082733,1e-05,0.1
10,4776,34,163840,18.4310302734375,547.32,90,0.14996337890625,2.3833439350128174,0.7067821621894836,0.2,-0.01147835360316094,0.0032564572,0.6629626892507077,0.05032159388065338,36.132737040519714,1e-05,0.1
11,4804,37,180224,18.349205017089844,544.45,100,0.127801513671875,2.4026856422424316,0.7264506816864014,0.2,-0.011199099897203269,0.0030559008,0.6508920006453991,0.050379909574985504,36.10581862926483,1e-05,0.1
12,4817,40,196608,18.040420532226562,531.07,110,0.1413330078125,2.4953222274780273,0.7632629871368408,0.2,-0.011423011736769694,0.0031766086,0.7882149439305067,0.05043579265475273,36.079687762260434,1e-05,0.1
13,4824,44,212992,16.715370178222656,490.47,120,0.134222412109375,2.443290948867798,0.7029507160186768,0.2,-0.010729360845289193,0.0030871662,0.725435734540224,0.050495997071266174,36.053382468223575,1e-05,0.1
14,4807,47,229376,18.47230339050293,529.76,130,0.125372314453125,2.414337635040283,0.7568554878234863,0.2,-0.010978041094494984,0.0030133713,0.6559100322425365,0.05055701732635498,36.025710868835446,1e-05,0.1
15,4811,51,245760,20.27938461303711,574.82,140,0.1306884765625,2.365943670272827,0.7036654949188232,0.2,-0.010611639856506372,0.0030329984,0.6326993208378553,0.050625499337911606,35.996348810195926,1e-05,0.1
16,4829,54,262144,20.31201934814453,579.19,150,0.13612060546875,2.378335952758789,0.7662559151649475,0.2,-0.010779358871513978,0.0030702439,0.6041443422436714,0.0506880022585392,35.96640868186951,1e-05,0.1
17,4831,57,278528,19.923561096191406,570.02,160,0.12640380859375,2.327904224395752,0.7713563442230225,0.2,-0.010318158332665917,0.0028886492,0.6380550809204578,0.050750039517879486,35.93826017379761,1e-05,0.1
18,4829,61,294912,19.99591636657715,573.6,170,0.147064208984375,2.481006145477295,0.7748399972915649,0.2,-0.011808190552983433,0.0031820796,0.7642845932394267,0.05080832540988922,35.9109025478363,1e-05,0.1
19,4836,64,311296,19.984766006469727,567.74,180,0.1376220703125,2.3938868045806885,0.7123361825942993,0.2,-0.010326133621856571,0.0030371924,0.6623057834804058,0.050870202481746674,35.883854269981384,1e-05,0.1
20,4836,67,327680,20.553852081298828,583.55,190,0.13211669921875,2.420994758605957,0.7818981409072876,0.2,-0.01030989498249255,0.0028955708,0.709907466173172,0.05092521384358406,35.85719075202942,1e-05,0.1
21,4836,71,344064,17.881406784057617,528.12,200,0.127349853515625,2.3601889610290527,0.8337713479995728,0.2,-0.011725347633182536,0.0029851317,0.5940267963334918,0.0509902723133564,35.83036866188049,1e-05,0.1
22,4841,74,360448,15.646134376525879,477.98,210,0.133599853515625,2.3953986167907715,0.7769908308982849,0.2,-0.011547952133696526,0.0030623921,0.7309168178588152,0.051049310714006424,35.80220398902893,1e-05,0.1
23,4836,77,376832,16.707429885864258,499.11,220,0.152325439453125,2.518332004547119,0.7833297252655029,0.2,-0.012601323175476863,0.0033478294,0.7438919432461262,0.05110941827297211,35.77537405490875,1e-05,0.1
24,4849,81,393216,17.971494674682617,528.89,230,0.137841796875,2.335301399230957,0.8150933980941772,0.2,-0.011030071543063968,0.003023893,0.5968127919360995,0.051172006875276566,35.74783465862274,1e-05,0.1
25,4858,84,409600,18.0107479095459,523.62,240,0.139593505859375,2.303647518157959,0.8566761612892151,0.2,-0.010931701931986027,0.0030882792,0.6091977201402188,0.051232341676950455,35.720070886611936,1e-05,0.1
26,4872,87,425984,18.153064727783203,529.77,250,0.129779052734375,2.3931989669799805,0.7873629927635193,0.2,-0.0114318527339492,0.0030105212,0.7747976217418909,0.05129006505012512,35.69368057250976,1e-05,0.1
27,4887,90,442368,18.088397979736328,525.65,260,0.142608642578125,2.5058252811431885,0.7731086611747742,0.2,-0.011457725836953614,0.003218078,0.6771130908280611,0.05135788023471832,35.66560888290405,1e-05,0.1
28,4895,93,458752,17.956026077270508,519.4,270,0.12652587890625,2.344236373901367,0.8075670599937439,0.2,-0.01139775932097109,0.0029500131,0.5885844085365534,0.05141904577612877,35.63655488491058,1e-05,0.1
29,4905,96,475136,18.196855545043945,527.97,280,0.146539306640625,2.3076162338256836,0.8129646182060242,0.2,-0.01129782101197634,0.0032943268,0.6201539821922779,0.05148329958319664,35.6086624622345,1e-05,0.1
30,4914,100,491520,16.07827377319336,480.51,290,0.145428466796875,2.191011428833008,0.7989463806152344,0.2,-0.010890144473523832,0.0032545044,0.48040777519345285,0.05154487490653992,35.58033845424652,1e-05,0.1
31,4923,103,507904,17.134809494018555,511.11,300,0.1359130859375,2.500706672668457,0.8360587954521179,0.2,-0.011809718892618549,0.0030841236,0.6831709520891309,0.05160234123468399,35.553970742225644,1e-05,0.1
32,4932,106,524288,16.31601333618164,497.31,310,0.142498779296875,2.3389086723327637,0.859014630317688,0.2,-0.011721656392910517,0.0031666756,0.5840287322178483,0.051667943596839905,35.52658712863922,1e-05,0.1
33,4940,109,540672,18.48008918762207,546.96,320,0.1478515625,2.3468689918518066,0.8314595222473145,0.2,-0.011025246050849091,0.0033889816,0.5920262994244695,0.051731038838624954,35.49783906936646,1e-05,0.1
34,4951,112,557056,17.469675064086914,522.28,330,0.14342041015625,2.3750648498535156,0.773813009262085,0.2,-0.010736852083937265,0.003260299,0.6501143515110016,0.05179307609796524,35.46998715400696,1e-05,0.1
35,4944,115,573440,18.35284996032715,535.16,340,0.13306884765625,2.2335479259490967,0.8491647243499756,0.2,-0.010968729964224622,0.0031111315,0.5635523134842515,0.05185740813612938,35.44188675880432,1e-05,0.1
36,4946,119,589824,16.16039276123047,474.28,350,0.13262939453125,2.2002646923065186,0.8285143375396729,0.2,-0.010235346098488663,0.0030141217,0.4962808772921562,0.0519217774271965,35.41339066028595,1e-05,0.1
37,4947,122,606208,16.073026657104492,475.53,360,0.147271728515625,2.4316396713256836,0.8369154334068298,0.2,-0.011066245770780369,0.003311587,0.7551713101565838,0.05198029428720474,35.38607797622681,1e-05,0.1
38,4926,126,622592,15.078658103942871,453.43,370,0.133978271484375,2.28277325630188,0.8444370627403259,0.2,-0.011022749572293832,0.0031471401,0.5198883023113012,0.05204280465841293,35.35950679779053,1e-05,0.1
39,4926,129,638976,16.321712493896484,485.92,380,0.14302978515625,2.2928991317749023,0.8475780487060547,0.2,-0.010920673981308937,0.003197223,0.5467922143638134,0.05211186408996582,35.33052651882171,1e-05,0.1
40,4934,132,655360,17.061662673950195,501.84,390,0.146234130859375,2.310352325439453,0.8435565233230591,0.2,-0.010807156754890457,0.003226561,0.5553153939545155,0.05218230560421944,35.29951856136322,1e-05,0.1
41,4921,136,671744,16.877954483032227,498.58,400,0.144525146484375,2.2649478912353516,0.8453845977783203,0.2,-0.011086268091457897,0.0032174285,0.5315648648887873,0.05224534869194031,35.27012870311737,1e-05,0.1
42,4883,140,688128,15.13504409790039,454.01,410,0.14757080078125,2.395489454269409,0.8514940142631531,0.2,-0.010569320927606896,0.0033433358,0.5393527958542108,0.0523114912211895,35.24186081886292,1e-05,0.1
43,4884,144,704512,16.51057243347168,487.95,420,0.147381591796875,2.3861868381500244,0.8572880625724792,0.2,-0.01133199475152651,0.0031951168,0.6486338267102838,0.05237461254000664,35.21333477497101,1e-05,0.1
44,4884,147,720896,14.924032211303711,459.85,430,0.142425537109375,2.1904397010803223,0.8655150532722473,0.2,-0.010806318976392504,0.0032391362,0.49642353150993584,0.05244175344705582,35.18473167419434,1e-05,0.1
45,4877,151,737280,15.109466552734375,462.51,440,0.1425537109375,2.261181116104126,0.8649628758430481,0.2,-0.011308577000454534,0.0032111374,0.5191993091255427,0.05250385031104088,35.15626654624939,1e-05,0.1
46,4883,154,753664,17.177587509155273,518.4,450,0.13466796875,2.196291446685791,0.8791095614433289,0.2,-0.010350169722369174,0.0031366777,0.41506708282977345,0.052565693855285645,35.129113340377806,1e-05,0.1
47,4867,158,770048,17.918472290039062,531.3,460,0.148394775390625,2.191131591796875,0.7955146431922913,0.2,-0.009613863307458814,0.0032830443,0.559486193023622,0.052628111094236374,35.10195689201355,1e-05,0.1
48,4858,161,786432,17.520618438720703,517.33,470,0.13375244140625,2.1666080951690674,0.8778592348098755,0.2,-0.010543153446633369,0.0029864004,0.486504490673542,0.052696529775857925,35.07349007129669,1e-05,0.1
49,4855,165,802816,16.834379196166992,498.33,480,0.141326904296875,2.2130229473114014,0.8672698140144348,0.2,-0.010316870283713798,0.0033057001,0.44783626049757,0.05276249349117279,35.0441725730896,1e-05,0.1
50,4856,168,819200,17.884681701660156,521.41,490,0.148968505859375,2.236259698867798,0.8506771326065063,0.2,-0.010910048476216617,0.0032613014,0.5754115769639612,0.05283107981085777,35.014801716804506,1e-05,0.1
51,4858,171,835584,18.639577865600586,547.33,500,0.138934326171875,2.0720129013061523,0.8645938634872437,0.2,-0.010538608409115113,0.0031913936,0.450541109405458,0.052897144109010696,34.985473489761354,1e-05,0.1
52,4865,175,851968,19.871206283569336,579.66,510,0.151519775390625,2.255920886993408,0.8549947738647461,0.2,-0.010962544205540325,0.003377973,0.517681841365993,0.05296352505683899,34.95668480396271,1e-05,0.1
53,4871,178,868352,20.671066284179688,593.33,520,0.15426025390625,2.0651118755340576,0.8450276851654053,0.2,-0.010056508618436055,0.00343936,0.38393839159980414,0.05303451418876648,34.92695047855377,1e-05,0.1
54,4875,181,884736,20.37499237060547,593.07,530,0.14791259765625,2.19594144821167,0.854042112827301,0.2,-0.010222330242686439,0.0032947157,0.4438492665067315,0.053101155906915665,34.89706156253815,1e-05,0.1
55,4880,184,901120,19.57968521118164,570.42,540,0.141650390625,2.272172212600708,0.8546448945999146,0.2,-0.010122043742740061,0.003127087,0.5006733715534211,0.05316942185163498,34.86784303188324,1e-05,0.1
56,4885,187,917504,17.388416290283203,510.28,550,0.154046630859375,2.3070292472839355,0.8370265960693359,0.2,-0.010309806349687279,0.0033837752,0.5696238607168198,0.05323008820414543,34.839750456809995,1e-05,0.1
57,4885,191,933888,17.323780059814453,509.25,560,0.13643798828125,2.1784942150115967,0.8912088871002197,0.2,-0.01099753514281474,0.003041294,0.4276593577116728,0.053291864693164825,34.813592600822446,1e-05,0.1
58,4875,194,950272,17.44953155517578,514.84,570,0.138128662109375,2.276904344558716,0.8278310298919678,0.2,-0.00998669731125119,0.0030993589,0.5902711901813745,0.0533587783575058,34.785716724395755,1e-05,0.1
59,4879,198,966656,17.7302188873291,524.91,580,0.149298095703125,2.1395232677459717,0.8811936378479004,0.2,-0.011029500945005566,0.0032808678,0.4167810982093215,0.05342337489128113,34.75742161273956,1e-05,0.1
60,4884,201,983040,18.336572647094727,545.15,590,0.162115478515625,2.1600942611694336,0.8740947246551514,0.2,-0.011363017593976111,0.003504157,0.4553902817890048,0.05349086597561836,34.72908825874329,1e-05,0.1
61,4888,204,999424,19.8156681060791,581.16,600,0.129840087890625,1.9800152778625488,0.877801239490509,0.2,-0.0098101520241471,0.0030148532,0.3245751399546862,0.0535617358982563,34.699340391159055,1e-05,0.1
62,4885,207,1015808,19.808998107910156,581.88,610,0.148138427734375,2.282912015914917,0.8338030576705933,0.2,-0.010404055153776426,0.0031800014,0.6565095752477645,0.05362432077527046,34.67035512924194,1e-05,0.1
63,4886,211,1032192,18.651731491088867,549.83,620,0.14405517578125,2.172067403793335,0.8896282911300659,0.2,-0.011014410443021917,0.003225103,0.38470098115503787,0.05368594080209732,34.643944549560544,1e-05,0.1
64,4872,215,1048576,17.943117141723633,528.6,630,0.147711181640625,2.0551133155822754,0.8860355019569397,0.2,-0.011720378664176679,0.0032576858,0.5000604437664151,0.053748439997434616,34.617398500442505,1e-05,0.1
65,4864,218,1064960,17.322336196899414,509.99,640,0.15322265625,2.163306713104248,0.8857681751251221,0.2,-0.011310858301294502,0.0033787144,0.45848597418516873,0.053822726011276245,34.58821952342987,1e-05,0.1
66,4868,222,1081344,16.9628963470459,495.89,650,0.140985107421875,2.1959290504455566,0.8727157115936279,0.2,-0.010313161287922413,0.003129794,0.4844056386500597,0.05389104783535004,34.55759835243225,1e-05,0.1
67,4873,225,1097728,17.742170333862305,518.03,660,0.150830078125,2.0801384449005127,0.900291383266449,0.2,-0.01075324771227315,0.0033796537,0.436728080175817,0.05395931750535965,34.52848494052887,1e-05,0.1
68,4871,228,1114112,17.9748592376709,523.31,670,0.148846435546875,2.0475101470947266,0.8863010406494141,0.2,-0.009788921492872759,0.0032392088,0.3781592193990946,0.054033201187849045,34.498178768157956,1e-05,0.1
69,4865,232,1130496,18.1672420501709,525.74,680,0.136260986328125,2.2152633666992188,0.8744056820869446,0.2,-0.010276855529809836,0.0031491113,0.523908881470561,0.05409887433052063,34.46833250522614,1e-05,0.1
70,4865,235,1146880,18.712753295898438,543.97,690,0.157391357421875,2.232653856277466,0.8673405647277832,0.2,-0.010916686996642966,0.0034282699,0.4829815188422799,0.05416916683316231,34.439575505256656,1e-05,0.1
71,4870,238,1163264,19.83576202392578,576.97,700,0.1498291015625,2.079983711242676,0.8701537847518921,0.2,-0.010358697574702092,0.0033208302,0.4799894567579031,0.054238323122262955,34.40990047454834,1e-05,0.1
72,4874,242,1179648,20.925302505493164,601.7,710,0.14486083984375,2.2106595039367676,0.8147674798965454,0.2,-0.009838622320967261,0.0034449887,0.5692257346585393,0.05430484190583229,34.38120436668396,1e-05,0.1
73,4877,245,1196032,22.121496200561523,640.71,720,0.127374267578125,2.0296108722686768,0.8865141868591309,0.2,-0.010278880260739243,0.0028085695,0.349042241089046,0.05437407270073891,34.35241513252258,1e-05,0.1
74,4879,248,1212416,19.52428436279297,570.74,730,0.137054443359375,2.042245626449585,0.883805513381958,0.2,-0.010944422529428266,0.0032022842,0.45365674085915086,0.054437678307294846,34.32438633441925,1e-05,0.1
75,4878,251,1228800,17.881738662719727,527.2,740,0.147882080078125,2.0625674724578857,0.8947628736495972,0.2,-0.010694561099808198,0.0032395662,0.40189326014369725,0.054502371698617935,34.29717235565185,1e-05,0.1
76,4879,255,1245184,16.7965087890625,495.96,750,0.140899658203125,2.2542331218719482,0.8877893090248108,0.2,-0.010915092450159137,0.0031179548,0.5128572201356292,0.054565273225307465,34.270247626304624,1e-05,0.1
77,4872,258,1261568,18.087018966674805,529.07,760,0.150872802734375,2.100092649459839,0.884382426738739,0.2,-0.010769663599057821,0.003271801,0.490681766718626,0.05463581904768944,34.24226224422455,1e-05,0.1
78,4874,262,1277952,17.617799758911133,508.46,770,0.14095458984375,2.2565860748291016,0.8797092437744141,0.2,-0.00975053149741143,0.003174337,0.5225721538066864,0.05470384284853935,34.21303391456604,1e-05,0.1
79,4877,265,1294336,18.240026473999023,527.73,780,0.141839599609375,2.168691396713257,0.8828623294830322,0.2,-0.010171471300418488,0.0031553786,0.47302684653550386,0.054770126938819885,34.18477902412415,1e-05,0.1
80,4881,268,1310720,18.455791473388672,540.17,790,0.14774169921875,2.0167243480682373,0.8978874087333679,0.2,-0.011068857097416184,0.0034419731,0.40985588543117046,0.054839834570884705,34.15620460510254,1e-05,0.1
81,4883,271,1327104,18.89815330505371,553.56,800,0.1382080078125,2.1003684997558594,0.9079603552818298,0.2,-0.010864415900141467,0.003140939,0.40232680551707745,0.05490635707974434,34.12755069732666,1e-05,0.1
82,4887,274,1343488,19.471704483032227,564.83,810,0.16522216796875,2.067589521408081,0.886105477809906,0.2,-0.010738128322554986,0.0035590483,0.4300046214833856,0.054979048669338226,34.09866936206818,1e-05,0.1
83,4890,278,1359872,18.87957000732422,552.66,820,0.161895751953125,2.277331829071045,0.8787136673927307,0.2,-0.010341961920494214,0.0034780074,0.505628839507699,0.05504703149199486,34.06910712718964,1e-05,0.1
84,4893,281,1376256,17.7830753326416,531.04,830,0.15340576171875,2.1317062377929688,0.8888429403305054,0.2,-0.010685868054133607,0.0034146588,0.4662486555054784,0.055115554481744766,34.04069545269012,1e-05,0.1
85,4896,284,1392640,18.19453239440918,542.94,840,0.1303466796875,2.0094785690307617,0.9123135805130005,0.2,-0.011018315859109862,0.003033196,0.3747144425287843,0.055184587836265564,34.01182873249054,1e-05,0.1
86,4898,287,1409024,18.509098052978516,549.28,850,0.143896484375,2.101902961730957,0.9028952121734619,0.2,-0.010264651299803518,0.0032065797,0.37327312398701906,0.05525150150060654,33.983529448509216,1e-05,0.1
87,4900,290,1425408,18.421363830566406,535.14,860,0.1447509765625,2.037691116333008,0.8974825739860535,0.2,-0.010465167334768922,0.003185675,0.42628388609737156,0.055320896208286285,33.95519962310791,1e-05,0.1
88,4902,294,1441792,18.312498092651367,531.61,870,0.140850830078125,2.0778987407684326,0.9113049507141113,0.2,-0.010047404227952939,0.0030666867,0.34053129898384216,0.05539467930793762,33.92552888393402,1e-05,0.1
89,4906,297,1458176,19.637977600097656,557.98,880,0.156365966796875,2.065652370452881,0.91087806224823,0.2,-0.010770740348380058,0.0034176367,0.4204988874495029,0.05546066164970398,33.89635989665985,1e-05,0.1
90,4906,300,1474560,19.520689010620117,554.21,890,0.14127197265625,2.1282877922058105,0.876140296459198,0.2,-0.009416988283919635,0.0031141192,0.4725876601412892,0.05553218722343445,33.867839860916135,1e-05,0.1
91,4902,304,1490944,18.8868408203125,546.1,900,0.15303955078125,2.271453857421875,0.8591033220291138,0.2,-0.010480393283069133,0.0033726164,0.605799051001668,0.05559812858700752,33.83930339813232,1e-05,0.1
92,4905,307,1507328,17.793413162231445,522.84,910,0.1466552734375,2.0770719051361084,0.8932211995124817,0.2,-0.011557818873552606,0.0032052281,0.400499458052218,0.0556662455201149,33.81168539524079,1e-05,0.1
93,4903,310,1523712,17.10436248779297,510.86,920,0.1622314453125,2.1105668544769287,0.906019926071167,0.2,-0.0109726952669007,0.0034516272,0.4201571669429541,0.05573652684688568,33.78320307731629,1e-05,0.1
94,4906,313,1540096,16.8056697845459,501.83,930,0.15057373046875,2.083867311477661,0.8877344727516174,0.2,-0.01069899457070278,0.003293627,0.4448988499119878,0.055805377662181854,33.75430510044098,1e-05,0.1
95,4910,316,1556480,17.557823181152344,519.01,940,0.1468994140625,2.0296225547790527,0.9165705442428589,0.2,-0.011060261324746534,0.0033428012,0.4027249177917838,0.055866945534944534,33.72749660015106,1e-05,0.1
96,4878,322,1572864,18.818777084350586,550.81,950,0.137872314453125,2.073739767074585,0.9095770120620728,0.2,-0.009683237566787285,0.0031654257,0.3307843594811857,0.05594216287136078,33.69965195655823,1e-05,0.1
97,4858,327,1589248,17.874143600463867,527.24,960,0.138653564453125,2.117086887359619,0.8994666337966919,0.2,-0.010380728848394938,0.0032040677,0.45312992818653586,0.0560142882168293,33.66897029876709,1e-05,0.1
98,4844,331,1605632,19.98822021484375,579.57,970,0.1420166015625,2.0220296382904053,0.9088552594184875,0.2,-0.010573598666815088,0.0032451164,0.40166863463819025,0.0560886450111866,33.63895704746246,1e-05,0.1
99,4837,335,1622016,17.879011154174805,522.64,980,0.143994140625,2.114485025405884,0.8770701885223389,0.2,-0.010081735753192333,0.0031921177,0.5044147044420242,0.05615616962313652,33.60977098941803,1e-05,0.1
100,4828,339,1638400,16.716838836669922,494.99,990,0.138568115234375,1.9716432094573975,0.9203764796257019,0.2,-0.010829604895116062,0.0030601616,0.38863015323877337,0.05622129887342453,33.582688856124875,1e-05,0.1
101,4820,343,1654784,16.719568252563477,492.72,1000,0.141845703125,1.995714783668518,0.9148052334785461,0.2,-0.010259294538991525,0.0033401053,0.3421534511260688,0.05629025399684906,33.55544905662536,1e-05,0.1
102,4811,347,1671168,18.364259719848633,535.44,1010,0.13946533203125,2.090811252593994,0.8857682943344116,0.2,-0.010216355876764283,0.0032803582,0.4738800261169672,0.05636702477931976,33.52570631504059,1e-05,0.1
103,4804,351,1687552,20.75519561767578,589.01,1020,0.14249267578125,1.9342269897460938,0.9121549129486084,0.2,-0.009856370730994967,0.0031703813,0.3468965359032154,0.05643818527460098,33.49534204006195,1e-05,0.1
104,4779,356,1703936,19.07553482055664,553.9,1030,0.1513427734375,2.099365234375,0.888386070728302,0.2,-0.009904688590904698,0.0034958376,0.46764690298587086,0.056508868932724,33.46645088195801,1e-05,0.1
105,4761,361,1720320,19.57843780517578,565.47,1040,0.1333984375,2.0167412757873535,0.9305223226547241,0.2,-0.010073151519463863,0.0030638415,0.3114222611300647,0.05657698214054108,33.43811604976654,1e-05,0.1
106,4754,365,1736704,18.082664489746094,531.98,1050,0.156524658203125,2.0852513313293457,0.8832451105117798,0.2,-0.010398129950408475,0.0034279537,0.4846724359318614,0.05664842203259468,33.40991239547729,1e-05,0.1
107,4733,370,1753088,18.8840389251709,551.36,1060,0.1370361328125,2.00353741645813,0.8981480598449707,0.2,-0.010087865908280947,0.0032618374,0.4621960764750838,0.05671494081616402,33.38176839351654,1e-05,0.1
108,4724,374,1769472,17.667034149169922,519.38,1070,0.1498291015625,1.93977952003479,0.8958735466003418,0.2,-0.009760014309722464,0.0032793817,0.38423410095274446,0.05678873136639595,33.353355979919435,1e-05,0.1
109,4721,378,1785856,16.675283432006836,498.07,1080,0.15357666015625,2.18459415435791,0.8721293210983276,0.2,-0.010696679385728203,0.0033326126,0.5527392392978072,0.05685759708285332,33.32445137500763,1e-05,0.1
110,4716,382,1802240,15.907574653625488,482.76,1090,0.142041015625,2.0432472229003906,0.923819899559021,0.2,-0.011144446331309154,0.0032126354,0.3325840836390853,0.0569235235452652,33.29715650081634,1e-05,0.1
111,4710,386,1818624,15.724311828613281,479.29,1100,0.142047119140625,2.033055305480957,0.9328762888908386,0.2,-0.012192279068403877,0.0032494336,0.3273410296998918,0.05699169263243675,33.27029700279236,1e-05,0.1
112,4696,390,1835008,17.702011108398438,522.49,1110,0.142169189453125,2.051823139190674,0.9171388149261475,0.2,-0.010397934046341106,0.003250504,0.38373925518244506,0.0570719949901104,33.24041428565979,1e-05,0.1
113,4690,394,1851392,19.328554153442383,553.86,1120,0.161309814453125,2.169034242630005,0.8896813988685608,0.2,-0.009748853066412266,0.0035311198,0.3885270105674863,0.057152509689331055,33.20775134563446,1e-05,0.1
